0.446504,0.324683,0.21016,0.103044,0.0034019,-0.0887358,-0.173372,-0.250535,-0.320277,-0.382668,-0.437796,-0.485759,-0.526667,-0.560638,-0.587797,-0.60827,-0.622189,-0.629688,-0.6309,-0.625956,-0.614989,
0.638015,0.506612,0.382176,0.264863,0.15478,0.0519927,-0.043468,-0.131601,-0.212431,-0.286005,-0.352386,-0.411655,-0.463905,-0.509237,-0.547761,-0.579594,-0.604857,-0.623673,-0.636168,-0.642468,-0.642697,
0.840081,0.699764,0.566061,0.439172,0.319242,0.206376,0.100639,0.00206074,-0.089354,-0.173627,-0.2508,-0.320932,-0.384098,-0.440382,-0.489881,-0.532698,-0.568942,-0.598727,-0.622169,-0.639387,-0.650499,
1.05152,0.902927,0.76058,0.624715,0.49552,0.373134,0.257657,0.149151,0.047647,-0.0468493,-0.134357,-0.214913,-0.288574,-0.355406,-0.415491,-0.468918,-0.515784,-0.556191,-0.590247,-0.618062,-0.639747,
1.27125,1.115,0.964608,0.820347,0.682448,0.551085,0.426392,0.308463,0.197357,0.0931056,-0.00428599,-0.0948339,-0.178573,-0.255554,-0.32584,-0.389507,-0.446638,-0.497325,-0.541664,-0.579756,-0.611706,
1.49832,1.335,1.17713,1.02502,0.87896,0.739145,0.605745,0.478884,0.358651,0.245102,0.138268,0.0381549,-0.0552528,-0.141987,-0.222094,-0.295635,-0.36268,-0.423306,-0.477601,-0.525655,-0.567565,
1.73189,1.56203,1.39722,1.2378,1.08409,0.936323,0.794704,0.659387,0.530488,0.408089,0.292244,0.182982,0.0803085,-0.0157904,-0.105345,-0.188398,-0.265007,-0.335238,-0.399165,-0.456868,-0.508435,
1.97122,1.79533,1.62407,1.45783,1.29695,1.14172,0.99235,0.849033,0.711911,0.581094,0.456659,0.338654,0.227108,0.122025,0.0233922,-0.0688187,-0.154649,-0.234153,-0.307391,-0.374435,-0.435361,
2.21567,2.0342,1.85696,1.68436,1.51678,1.35452,1.19784,1.04696,0.902046,0.763226,0.630605,0.504253,0.384217,0.27052,0.163169,0.0621486,-0.0325666,-0.121017,-0.203251,-0.27933,-0.34932,
2.46468,2.27806,2.09525,1.91672,1.74285,1.574,1.41043,1.2524,1.10009,0.95367,0.813251,0.678931,0.550775,0.428826,0.313105,0.203616,0.100345,0.00326857,-0.0876531,-0.172467,-0.25123,
2.71781,2.5264,2.33841,2.15433,1.97457,1.79951,1.62945,1.46465,1.30533,1.15168,1.00384,0.861912,0.725992,0.596138,0.472387,0.354758,0.243254,0.137862,0.0385568,-0.0546986,-0.14195,
